,UK Model Names: ,UK Prices: ,AU Model Names: ,AU Prices: ,Better or Worse Value: ,GBP to AUD converted: 
0,"Mortarion, Daemon Primarch of Nurgle",95.00,"Mortarion, Daemon Primarch of Nurgle",230.00,Cheaper in AUD,166.25
1,Inquisitor Karamazov,40.00,Inquisitor Karamazov,90.00,Worse in AUD,70.0
2,Deathwatch Terminator Captain,18.00,Deathwatch Terminator Captain,30.00,Worse in AUD,31.5
3,Vindicare Assassin,24.00,Inquisitor Coteaz,28.00,Worse in AUD,42.0
4,Inquisitor Coteaz,17.00,Tidewall Shieldline,102.00,Worse in AUD,29.75
5,Nemesis Dreadknight,40.00,Nemesis Dreadknight,90.00,Worse in AUD,70.0
6,Ravager,35.00,Ravager,83.00,Worse in AUD,61.25
7,Taurox Prime,32.50,Eversor Assassin,60.00,Worse in AUD,56.875
8,Eversor Assassin,24.00,Taurox Prime,55.00,Worse in AUD,42.0
9,Death Cult Assassins,13.00,Commander Farsight,54.00,Worse in AUD,22.75
10,Tesseract Vault,100.00,Adeptus Mechanicus Onager Dunecrawler,112.00,Cheaper in AUD,175.0
11,Adeptus Mechanicus Onager Dunecrawler,47.50,Bjorn the Fell-Handed,82.00,Worse in AUD,83.125
12,Tidewall Droneport,37.50,Assault Squad,76.00,Worse in AUD,65.625
13,Blood Angels Terminator Assault Squad,36.00,Assault Squad,76.00,Worse in AUD,63.0
14,Bjorn the Fell-Handed,36.00,Blood Angels Terminator Assault Squad,75.00,Worse in AUD,63.0
15,Assault Squad,32.50,Harlequin Troupe,65.00,Worse in AUD,56.875
16,Assault Squad,32.50,Tech -Priest Dominus,60.00,Worse in AUD,56.875
17,Harlequin Troupe,26.00,Callidus Assassin,53.00,Worse in AUD,45.5
18,Tech -Priest Dominus,24.00,Stompa,165.00,Worse in AUD,42.0
19,Callidus Assassin,20.00,Primaris Intercessors,98.00,Worse in AUD,35.0
20,Stompa,80.00,XV104 Riptide Battlesuit,90.00,Cheaper in AUD,140.0
21,XV104 Riptide Battlesuit,67.50,Baal Predator,83.00,Cheaper in AUD,118.125
